show_id,name
s1,Nottapon Boonprakob
s2,Jorge Michel Grau
s3,Gilbert Chan
s4,Shane Acker
s5,Robert Luketic
s6,Serdar Akar
s7,Yasir Al Yasiri
s8,Kevin Reynolds
s9,Shravan Kumar
s10,Vikram Bhatt
s11,Zak Hilditch
s12,
s13,Diego Enrique Osorno
s14,Nottapon Boonprakob
s15,John Suits
s16,Kunle Afolayan
s17,
s18,Paul Greengrass
s19,Swapnaneel Jayakar
s20,
s21,Onir
s22,Vijay Milton
s23,Santwana Bardoloi
s24,Atanu Ghosh
s25,
s26,"Lyric R. Cabral, David Felix Sutcliffe"
s27,
s28,Cho Il
s29,"Sabina Fedeli, Anna Migotto"
s30,
s31,Michael Margolis
s32,Rako Prijanto
s33,Rako Prijanto
s34,Fernando Lebrija
s35,Michael Kennedy
s36,Robert McCullough Jr.
s37,Cristina Jacob
s38,Cristina Jacob
s39,
s40,Frank Ariza
s41,Muharrem GÃ¼lmez
s42,Ã“skar ThÃ³r Axelsson
s43,Ozan AÃ§Ä±ktan
s44,Kenneth Gyang
s45,Karyn Kusama
s46,
s47,Adam Deyoe
s48,Leif Tilden
s49,Adze Ugah
s50,Nicolas Brossette
s51,Roland Emmerich
s52,
s53,
s54,
s55,Marcel Barrena
s56,
s57,Melinda Janko
s58,Jastis Arimba
s59,
s60,Shrihari Sathe
s61,Sam Upton
s62,
s63,Victor Zarcoff
s64,
s65,
s66,Daniel Stamm
s67,Ava DuVernay
s68,
s69,Daniel Lee
s70,"Scott Hussion, Seth Fuller"
s71,"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm"
s72,Richard Donner
s73,Burr Steers
s74,Francesco Amato
s75,Salvador Calvo
s76,David Marmor
s77,Raymond Wood
s78,"Ramzy Bedia, Ã‰ric Judor"
s79,Abhishek Varman
s80,Morgan Neville
s81,
s82,
s83,Hasraf Dulull
s84,Mike Mills
s85,"Jon Lucas, Scott Moore"
s86,
s87,
s88,
s89,Joey Curtis
s90,Brian Smrz
s91,Simranjit Singh Hundal
s92,Geun-hyun Cho
s93,Nicanor Loreti
s94,Simon Napier-Bell
s95,Betty Thomas
s96,
s97,McG
s98,Nagesh Kukunoor
s99,Gaby Dellal
s100,Iman Brotoseno
s101,Rajkumar Hirani
s102,Shazia Javed
s103,Sinan AkkuÅŸ
s104,Hani Hamdi
s105,Ruben Fleischer
s106,Maciej Dejczer
s107,"Barbara BiaÅ‚owÄ…s, Tomasz Mandes"
s108,Hikari
s109,
s110,Victor Gatonye
s111,Jack C. Newell
s112,
s113,
s114,"Marco Deufemia, Justin G. Dyck"
s115,Gerardo Olivares
s116,Andrew Nackman
